row_type,entry_id,type_of_en,dr_cr,entry_amt,val_dt,post_dt,prod_code,pkup_loc,pkup_pt,pkup_dt,dept_slip,dept_dt,dept_amt,no_of_inst,dept_rmk,d1,inst_no,drawee_bk,cl_loc,inst_amt,inst_dt,drawer_name,e1,e2,e3,return_reason_remarks,,,,
D,230605002LP8,T,C,7695,6062023,5062023,CASH      ,Raichur (584101) Kar                    ,39838,5062023,14221682,5062023,7695,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Raichur (584101) Kar                    ,7695,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002T0M,T,C,9794,6062023,5062023,CASH      ,TUTICORIN (TAMILNADU) 628 008           ,37683,5062023,3768300249,5062023,9794,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TUTICORIN (TAMILNADU) 628 008           ,9794,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002VHG,T,C,12710,6062023,5062023,CASH      ,Motihari Bihar                          ,21119,5062023,21010977,5062023,12710,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Motihari Bihar                          ,12710,5062023,ADITYA BIRLA FASHION AND RETAIL LTD     , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002XOS,T,C,20870,6062023,5062023,CASH      ,Karimnagar(Karimnagar) Telangana 505 001,29699,5062023,16605176,5062023,20870,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Karimnagar(Karimnagar) Telangana 505 001,20870,5062023,ADITYA BIRLA FASHIONS                   , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002YKC,T,C,30300,6062023,5062023,CASH      ,Sivakasi (KAMARAJAR ) TN 626123         ,66530,5062023,17939973,5062023,30300,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Sivakasi (KAMARAJAR ) TN 626123         ,30300,5062023,                                        ,5062023,17939973,NA                                        ,                                                                                                                                                                                                                                                               ,,,,
D,230605002Z5A,T,C,10044,6062023,5062023,CASH      ,TUTICORIN (TAMILNADU) 628 008           ,37683,5062023,3768300250,5062023,10044,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TUTICORIN (TAMILNADU) 628 008           ,10044,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605003JOS,T,C,10900,6062023,5062023,CASH      ,Dhanabad                                ,16965,5062023,1696500291,5062023,10900,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dhanabad                                ,10900,5062023,NM                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605003JOW,T,C,23030,6062023,5062023,CASH      ,Dhanabad                                ,16965,5062023,1696500292,5062023,23030,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dhanabad                                ,23030,5062023,NM                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605003KL4,T,C,21500,6062023,5062023,CASH      ,Dimapur (KOHIMA) NAGALAND - 797112      ,8461,5062023,13950434,5062023,21500,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dimapur (KOHIMA) NAGALAND - 797112      ,21500,5062023,NOT MENTION ON THE SLIP                 ,5062023,NOT MENTION         ,NOT MENTION                               ,                                                                                                                                                                                                                                                               ,,,,
D,230605003NWG,T,C,19000,6062023,5062023,CASH      ,JAMSHEDPUR 831 001                      ,66542,5062023,17932598,5062023,19000,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,JAMSHEDPUR 831 001                      ,19000,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050042DQ,T,C,18800,6062023,5062023,CASH      ,CHHINDWARA (NON GOVT CHQS) 480 001      ,39661,5062023,16742280,5062023,18800,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,CHHINDWARA (NON GOVT CHQS) 480 001      ,18800,5062023,CASH                                    , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050047OI,T,C,31600,6062023,5062023,CASH      ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,62801,5062023,18940882,5062023,31600,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,31600,5062023,NA                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050047P2,T,C,29790,6062023,5062023,CASH      ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,62801,5062023,19020044,5062023,29790,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,29790,5062023,NA                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
