Date,Shop ID,Client Name,Cust Name,Customer Code,Customer Point Code,Location Name,Seal Tag No.,Pick up Amount
03-06-2024,RSC165154,State Bank of India,Aditya Birla Fashion & retail Ltd,ABFRL1,59477,Vashi,A4345962,15024
03-06-2024,RSC167022,State Bank of India,Aditya Birla Fashion & retail Ltd,ABFRL1,21591,Vashi,A4349606,8780
