State_Office,LocationName,City_Name,ClientName,PickUpDate,HCM_COUSTOMERCODE,Frequency,HeirarchyCode1,AccountCode,CustomerName,Area,CashPickupLimit,Deposit_Slip_No,ScratchCard_Slip_Number,Cash_pickup_amt,DENOM_2000,DENOM_500,DENOM_200,DENOM_100,DENOM_50,DENOM_20,DENOM_10,DENOM_5,DENOM_2,DENOM_1,Others,Total,Remarks,AuthorizationStatus
RAYALSEEMA,ANANTAPUR,ANANTAPUR,NEW AGE CASH MANAGEMENT SERVICES PRIVATE LIMITED,31-Jul-24,ANAABFL005,BEAT,63961,MADGAR,ADITYA BIRLA FASHIONS AND RETAIL LIMITED MADURA FASHIONS UNIT,GUNTAKAL,80000,31072024,50206011,6000,0,11,0,5,0,0,0,0,0,0,0,6000,,Skipped
TAMIL NADU,VELLORE OFFICE,ARAKKONAM,NEW AGE CASH MANAGEMENT SERVICES PRIVATE LIMITED,31-Jul-24,ARAABFL001,BEAT,34856,MADGAR,ADITYA BIRLA FASHIONS AND RETAIL LIMITED MADURA FASHIONS UNIT,ARAKONAM,80000,3485600700,49387161,4690,0,0,23,0,1,2,0,0,0,0,0,4690,,Authorized
