MerchantId,PaymentType,MerchantReferenceId,PhonePeReferenceId,StoreId,StoreName,TerminalId,TerminalName,From,Instrument,CreationDate,TransactionDate,SettlementDate,BankReferenceNo,Amount,Fee,IGST,CGST,SGST
ABFRLPETERENGLAND,PAYMENT,66553-6655301-20230605150052,T2306052031273055420355,66553,Pe Red Pe-Red Kopargaon,6655301,6655301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2798.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66190-6619001-20230605150156,T2306052033084505679141,66190,Peter England,6619001,6619001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1499.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66190-6619001-20230605140355,T2306051934088246100715,66190,Peter England,6619001,6619001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,7495.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66190-6619001-20230605115704,T2306051727285383328687,66190,Peter England,6619001,6619001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3198.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,62559-6255902-20230605080440,T2306051334525176987386,62559,Peter England - Umbriya Ganapati Chowk,6255902,6255902,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,4498.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,67946-6794601-20230605070023,T2306051230516491720320,67946,67946,6794601,6794601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,48.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66567-6656701-20230605111400,T2306051644475903992796,66567,Pe Red Pe Red -Narsinghpur,6656701,6656701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2305.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66567-6656701-20230605150958,T2306052040106930897222,66567,Pe Red Pe Red -Narsinghpur,6656701,6656701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,4297.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,37618-3761801-20230605143159,T2306052002195093260016,37618,As Prime Chitradurga,3761801,3761801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,3096.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,37618-3761801-20230605145814,T2306052028325211000404,37618,As Prime Chitradurga,3761801,3761801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,11447.000000,0.000000,0.000000,0.000000,0.000000
