"Total Count: ",16540
"Matched Count: ",15292
"Not Matched Count: ",1248

,,,,,,Total,136886262.31,138452984.35,.00,-1566722.04
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
01-04-2024,01-04-2024,3669,63669,"PE RED","WALLET PHONEPAY",Matched,2322.06,2322.06,0.00,0.00,0.00,
01-04-2024,01-04-2024,3673,63673,"PE RED","WALLET PHONEPAY",Matched,2896.00,2896.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3675,63675,"PE RED","WALLET PHONEPAY",Matched,3077.40,3077.40,0.00,0.00,0.00,
01-04-2024,01-04-2024,3678,63678,"PE RED","WALLET PHONEPAY",Matched,5393.07,5393.07,0.00,0.00,0.00,
01-04-2024,01-04-2024,3689,63689,"PE RED","WALLET PHONEPAY",Matched,6695.00,6695.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3690,63690,"PE RED","WALLET PHONEPAY",Matched,2315.00,2315.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3691,63691,"PE RED","WALLET PHONEPAY",Matched,4396.00,4396.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3696,63696,"PE RED","WALLET PHONEPAY",Matched,4997.00,4997.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3698,63698,"PE RED","WALLET PHONEPAY",Matched,999.00,999.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3701,13701,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,12995.00,12995.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3703,13703,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,12146.00,12146.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3721,13721,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,136295.00,136295.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3731,33731,"ALLEN SOLLY","WALLET PHONEPAY",Matched,98.80,98.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,3735,13735,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,19680.00,19680.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3743,13743,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,18094.00,18094.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3745,13745,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,2049.00,2049.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3788,13788,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,47156.50,47156.50,0.00,0.00,0.00,
01-04-2024,01-04-2024,3793,13793,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,6298.00,6298.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3809,63809,"PE BLUE","WALLET PHONEPAY",Matched,7648.00,7648.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3817,63817,"PE RED","WALLET PHONEPAY",Matched,4894.00,4894.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3821,63821,"PE RED","WALLET PHONEPAY",Matched,1799.00,1799.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3825,63825,"PE RED","WALLET PHONEPAY",Matched,699.00,699.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3831,63831,"PE RED","WALLET PHONEPAY",Matched,199.00,199.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3835,63835,"PE BLUE","WALLET PHONEPAY","Not Matched",10596.00,15845.00,0.00,-5249.00,-5249.00,
01-04-2024,01-04-2024,3842,63842,"PE RED","WALLET PHONEPAY",Matched,4097.00,4097.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3843,63843,"PE RED","WALLET PHONEPAY",Matched,599.00,599.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3851,63851,"PE BLUE","WALLET PHONEPAY",Matched,8046.00,8046.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3852,63852,"PE RED","WALLET PHONEPAY",Matched,3398.00,3398.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3866,63866,"PE RED","WALLET PHONEPAY",Matched,7894.07,7894.07,0.00,0.00,0.00,
01-04-2024,01-04-2024,3876,63876,"PE RED","WALLET PHONEPAY",Matched,10192.00,10192.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3885,63885,"PE RED","WALLET PHONEPAY",Matched,2698.00,2698.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3888,63888,"PE BLUE","WALLET PHONEPAY","Not Matched",369.00,5367.00,0.00,-4998.00,-4998.00,
01-04-2024,01-04-2024,3889,63889,"PE RED","WALLET PHONEPAY",Matched,14718.00,14718.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3895,63895,"PE BLUE","WALLET PHONEPAY",Matched,7579.00,7579.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3900,63900,"PE RED","WALLET PHONEPAY",Matched,3897.00,3897.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3904,63904,"PE RED","WALLET PHONEPAY",Matched,1399.07,1399.07,0.00,0.00,0.00,
01-04-2024,01-04-2024,3905,63905,"PE RED","WALLET PHONEPAY",Matched,699.00,699.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3913,63913,"PE RED","WALLET PHONEPAY",Matched,3798.06,3798.06,0.00,0.00,0.00,
01-04-2024,01-04-2024,3917,63917,"PE RED","WALLET PHONEPAY",Matched,2000.00,2000.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3924,63924,"PE RED","WALLET PHONEPAY",Matched,1299.00,1299.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3927,63927,"PE BLUE","WALLET PHONEPAY",Matched,1799.00,1799.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3931,63931,"PE RED","WALLET PHONEPAY",Matched,2747.06,2747.06,0.00,0.00,0.00,
01-04-2024,01-04-2024,3933,63933,"PE RED","WALLET PHONEPAY",Matched,3496.00,3496.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3935,63935,"PE BLUE","WALLET PHONEPAY",Matched,11446.00,11446.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3938,63938,"PE BLUE","WALLET PHONEPAY",Matched,15993.85,15993.85,0.00,0.00,0.00,
01-04-2024,01-04-2024,3940,63940,"PE RED","WALLET PHONEPAY",Matched,1998.00,1998.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3961,63961,"PE RED","WALLET PHONEPAY",Matched,5994.00,5994.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3962,63962,"PE RED","WALLET PHONEPAY",Matched,3598.00,3598.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3980,63980,"PE RED","WALLET PHONEPAY",Matched,11243.00,11243.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3983,63983,"PE RED","WALLET PHONEPAY",Matched,2976.26,2976.26,0.00,0.00,0.00,
01-04-2024,01-04-2024,3985,63985,"PE RED","WALLET PHONEPAY",Matched,799.00,799.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3986,63986,"PE RED","WALLET PHONEPAY",Matched,999.00,999.00,0.00,0.00,0.00,
