"Total Count: ",
"Matched Count: ",
"Not Matched Count: ",

,,,,,,Total,,,.00,
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]"
