"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Store Name","Deposit Amount"
2783949,,2024-11-04,,,99100012,"WALLET PHONEPAY",,42000.00
2783950,,2024-11-04,,,99100012,"WALLET PHONEPAY",,50000.00
2783951,,2024-11-04,,,99100011,"WALLET PHONEPAY",,3500.00
2783952,,2024-11-04,,,99100011,"WALLET PHONEPAY",,10000.00
2783983,,2024-11-03,,,99100012,"WALLET PHONEPAY",,500.00
2783984,,2024-11-03,,,99100011,"WALLET PHONEPAY",,22090.00
2783986,,2024-11-03,,,99100011,"WALLET PHONEPAY",,7000.00
2783987,,2024-11-03,,,99100011,"WALLET PHONEPAY",,16250.00
2783991,,2024-11-03,,,99100012,"WALLET PHONEPAY",,4000.00
2783988,,2024-11-02,,,99100011,"WALLET PHONEPAY",,15500.00
2783989,,2024-11-02,,,99100011,"WALLET PHONEPAY",,17800.00
2783990,,2024-11-02,,,99100011,"WALLET PHONEPAY",,15500.00
2783985,,2024-11-02,,,99100011,"WALLET PHONEPAY",,3495.00
2783734,,2024-11-01,,,99100011,"WALLET PHONEPAY",,48500.00
2783806,,2024-11-01,,,99100012,"WALLET PHONEPAY",,13250.00
2783807,,2024-11-01,,,99100012,"WALLET PHONEPAY",,26999.00
2783742,,2024-10-31,,,99100011,"WALLET PHONEPAY",,10000.00
2783743,,2024-10-31,,,99100011,"WALLET PHONEPAY",,14995.00
2783749,,2024-10-31,,,99100011,"WALLET PHONEPAY",,26700.00
2783747,,2024-10-31,,,99100011,"WALLET PHONEPAY",,90000.00
2783748,,2024-10-30,,,99100011,"WALLET PHONEPAY",,23995.00
2783741,,2024-10-30,,,99100012,"WALLET PHONEPAY",,66800.00
2783744,,2024-10-30,,,99100011,"WALLET PHONEPAY",,4500.00
2783745,,2024-10-30,,,99100011,"WALLET PHONEPAY",,9500.00
2783746,,2024-10-30,,,99100011,"WALLET PHONEPAY",,15500.00
2783754,,2024-10-29,,,99100011,"WALLET PHONEPAY",,13000.00
2783735,,2024-10-28,,,99100012,"WALLET PHONEPAY",,16500.00
2783736,,2024-10-28,,,99100012,"WALLET PHONEPAY",,9250.00
2783737,,2024-10-28,,,99100012,"WALLET PHONEPAY",,40375.00
2783738,,2024-10-28,,,99100011,"WALLET PHONEPAY",,31500.00
2783739,,2024-10-28,,,99100011,"WALLET PHONEPAY",,63000.00
2783978,,2024-10-27,,,99100011,"WALLET PHONEPAY",,33750.00
