"Deposit Date","Pickupt Code","Deposit Slip No","Collection Bank",Location,"Deposit Amount"
03-06-2024,15934,1593400003,"AXIS Cash",JHANSI,1400.00
03-06-2024,15934,1593400004,"AXIS Cash",JHANSI,19140.00
03-06-2024,15946,1594600019,"AXIS Cash","NAWADA NWD BH",3400.00
03-06-2024,15946,1594600020,"AXIS Cash","NAWADA NWD BH",5700.00
03-06-2024,16152,200012,"AXIS Cash",VISAKHAPATNAM,11450.00
03-06-2024,16152,200011,"AXIS Cash",VISAKHAPATNAM,22500.00
03-06-2024,25805,196071,"AXIS Cash","CASH CORR LOCATION",1300.00
03-06-2024,25907,2590700032,"AXIS Cash",HARIDWAR,10450.00
03-06-2024,25907,2590700033,"AXIS Cash",HARIDWAR,18820.00
03-06-2024,25917,74985207,"AXIS Cash",JODHPUR,15100.00
03-06-2024,25971,2597100011,"AXIS Cash","NEW DELHI",17300.00
03-06-2024,25971,2597100012,"AXIS Cash","NEW DELHI",33300.00
03-06-2024,25997,2599700019,"AXIS Cash",AHMEDABAD,3250.00
03-06-2024,25997,2599700020,"AXIS Cash",AHMEDABAD,4500.00
03-06-2024,26115,2611500002,"AXIS Cash",AHMEDABAD,14900.00
03-06-2024,36197,3619700001,"AXIS Cash","KOCHI / ERNAKULAM",2500.00
03-06-2024,36197,3619700003,"AXIS Cash","KOCHI / ERNAKULAM",2500.00
03-06-2024,36197,3619700004,"AXIS Cash","KOCHI / ERNAKULAM",6700.00
03-06-2024,36197,3619700002,"AXIS Cash","KOCHI / ERNAKULAM",9800.00
03-06-2024,41106,59277990,"AXIS Cash",SULTANPUR-228001,200.00
03-06-2024,51534,284167,"AXIS Cash","CASH CORR LOCATION",10500.00
03-06-2024,55572,6246432,"AXIS Cash","CASH CORR LOCATION",9530.00
03-06-2024,55980,5598000001,"AXIS Cash",DEHRADUN,2000.00
03-06-2024,55980,5598000002,"AXIS Cash",DEHRADUN,20400.00
03-06-2024,57064,74459799,"AXIS Cash",RANCHI,13200.00
03-06-2024,57065,74459823,"AXIS Cash",RANCHI,4500.00
03-06-2024,57100,5710000072,"AXIS Cash",CHENNAI,2904.00
03-06-2024,57100,5710000724,"AXIS Cash",CHENNAI,10596.00
03-06-2024,57108,80971039,"AXIS Cash",MYSORE,25730.00
03-06-2024,57110,5711000602,"AXIS Cash",BAREILLY,6820.00
03-06-2024,57111,5711100693,"AXIS Cash",CHENNAI,370.00
03-06-2024,57111,5711100694,"AXIS Cash",CHENNAI,4720.00
03-06-2024,57114,58758178,"AXIS Cash",HYDERABAD,16630.00
03-06-2024,57115,58758970,"AXIS Cash",HYDERABAD,24055.00
03-06-2024,57124,60267550,"AXIS Cash",GUWAHATI,23000.00
03-06-2024,57126,4790468,"AXIS Cash","CASH CORR LOCATION",21470.00
03-06-2024,57127,74645763,"AXIS Cash",JAMSHEDPUR,30660.00
03-06-2024,57128,5712800597,"AXIS Cash",MUMBAI,16480.00
03-06-2024,57129,5712900631,"AXIS Cash",BANGALORE,5550.00
03-06-2024,57130,79480402,"AXIS Cash","CASH CORR LOCATION",42140.00
03-06-2024,57131,95147370,"AXIS Cash","CASH CORR LOCATION",9000.00
03-06-2024,57133,5713300689,"AXIS Cash",NASHIK,4460.00
03-06-2024,57133,5713300690,"AXIS Cash",NASHIK,18866.00
03-06-2024,57135,5713500519,"AXIS Cash",HYDERABAD,4113.00
03-06-2024,57137,5713700487,"AXIS Cash",HYDERABAD,1157.00
03-06-2024,57137,5713700486,"AXIS Cash",HYDERABAD,2065.00
03-06-2024,57139,5713900569,"AXIS Cash","CASH CORR LOCATION",27856.00
03-06-2024,57143,61623394,"AXIS Cash",TIRUPATHI,6040.00
03-06-2024,57144,5714400408,"AXIS Cash",CHENNAI,2105.00
03-06-2024,57146,41379615,"AXIS Cash",MANGALORE,8566.00
03-06-2024,57147,74917585,"AXIS Cash",BHUBANESHWAR,8000.00
03-06-2024,57152,80867939,"AXIS Cash","CASH CORR LOCATION",3916.00
03-06-2024,57153,7452927,"AXIS Cash","CASH CORR LOCATION",3800.00
03-06-2024,57154,5751400499,"AXIS Cash",PUNE,26810.00
03-06-2024,57155,5715500510,"AXIS Cash",MUMBAI,7400.00
03-06-2024,57156,62126699,"AXIS Cash",CHENNAI,3500.00
03-06-2024,57157,62532934,"AXIS Cash","CASH CORR LOCATION",5660.00
03-06-2024,57159,5715900044,"AXIS Cash",BANGALORE,1050.00
03-06-2024,57159,5715900045,"AXIS Cash",BANGALORE,4500.00
03-06-2024,57159,5715900046,"AXIS Cash",BANGALORE,12141.00
03-06-2024,57160,5716000343,"AXIS Cash",COIMBATORE,25420.00
03-06-2024,57161,38953154,"AXIS Cash","CASH CORR LOCATION",69600.00
03-06-2024,57163,5716300420,"AXIS Cash","CASH CORR LOCATION",500.00
03-06-2024,57164,5716400432,"AXIS Cash","CASH CORR LOCATION",7550.00
03-06-2024,57167,5716700705,"AXIS Cash",AHMEDABAD,2850.00
03-06-2024,57167,5716700704,"AXIS Cash",AHMEDABAD,10250.00
03-06-2024,57168,5716800417,"AXIS Cash","NEW DELHI",23441.00
03-06-2024,57180,5718000669,"AXIS Cash","CASH CORR LOCATION",14497.00
03-06-2024,57183,62696107,"AXIS Cash","CASH CORR LOCATION",1000.00
03-06-2024,57184,5718400660,"AXIS Cash",CALICUT,5215.00
03-06-2024,57185,73082747,"AXIS Cash",PUNE,3470.00
03-06-2024,57188,5718800494,"AXIS Cash",PUNE,25200.00
03-06-2024,57189,5718900680,"AXIS Cash",HYDERABAD,2738.00
03-06-2024,57189,5718900679,"AXIS Cash",HYDERABAD,16887.00
03-06-2024,57190,5719000393,"AXIS Cash",SURAT,30135.00
03-06-2024,57191,5719100199,"AXIS Cash",AHMEDABAD,4410.00
03-06-2024,57192,5719200258,"AXIS Cash",MUMBAI,7200.00
03-06-2024,57193,5719300347,"AXIS Cash",TRIVANDRUM,5839.00
03-06-2024,57194,5749400415,"AXIS Cash",LUCKNOW,26200.00
03-06-2024,57196,5719600264,"AXIS Cash",PATNA,3000.00
03-06-2024,57197,5719700203,"AXIS Cash",PATNA,10000.00
03-06-2024,57198,61006322,"AXIS Cash",HYDERABAD,6300.00
03-06-2024,57199,5719900647,"AXIS Cash",MYSORE,868.00
03-06-2024,57199,5719900648,"AXIS Cash",MYSORE,19366.00
03-06-2024,57200,5720000192,"AXIS Cash",LUCKNOW,5500.00
03-06-2024,57217,5721700349,"AXIS Cash","NEW DELHI",14900.00
03-06-2024,57220,74856358,"AXIS Cash",BHOPAL,975.00
03-06-2024,57263,80376515,"AXIS Cash",RANCHI,7286.00
03-06-2024,57267,9182479,"AXIS Cash",HUBLI,5100.00
03-06-2024,57279,5727900346,"AXIS Cash","NEW DELHI",2330.00
03-06-2024,57280,5728000353,"AXIS Cash",INDORE,36600.00
03-06-2024,57291,79860902,"AXIS Cash",RAJKOT,1280.00
03-06-2024,57292,5729200146,"AXIS Cash","NEW DELHI",24540.00
03-06-2024,57299,73742495,"AXIS Cash",KANPUR,9600.00
03-06-2024,57505,74966691,"AXIS Cash",BANGALORE,2650.00
03-06-2024,57508,74849050,"AXIS Cash",INDORE,2300.00
03-06-2024,57528,96153094,"AXIS Cash","KOTA - RAJASTHAN",12400.00
03-06-2024,57531,18444487,"AXIS Cash",CHANDIGARH,11970.00
03-06-2024,57543,5754300366,"AXIS Cash","NEW DELHI",10120.00
03-06-2024,57543,5754300365,"AXIS Cash","NEW DELHI",19959.00
03-06-2024,57551,5755100382,"AXIS Cash",LUCKNOW,5000.00
03-06-2024,57609,79932244,"AXIS Cash",BANGALORE,19000.00
03-06-2024,57611,5761100263,"AXIS Cash",AHMEDABAD,1400.00
03-06-2024,57621,5762100303,"AXIS Cash",AHMEDABAD,19937.00
03-06-2024,57625,5762500376,"AXIS Cash",AJMER,3553.00
03-06-2024,57653,5765300313,"AXIS Cash",JAIPUR,3300.00
03-06-2024,57681,80082117,"AXIS Cash",AURANGABAD,4041.00
03-06-2024,57724,1150097,"AXIS Cash",GUWAHATI,11500.00
03-06-2024,57748,5774800243,"AXIS Cash",UDAIPUR,529.00
03-06-2024,57749,74315803,"AXIS Cash",CHANDIGARH,34824.00
03-06-2024,57754,32040514,"AXIS Cash","PURNIA / PURNEA",13000.00
03-06-2024,57784,8773069,"AXIS Cash",ROORKEE,10414.00
03-06-2024,57787,5778700342,"AXIS Cash",KOLKATA,38.00
03-06-2024,57787,5778700343,"AXIS Cash",KOLKATA,1000.00
03-06-2024,57787,5778700344,"AXIS Cash",KOLKATA,9100.00
03-06-2024,57791,5779100296,"AXIS Cash",BANGALORE,3870.00
03-06-2024,57792,30620241,"AXIS Cash",AHMEDABAD,7610.00
03-06-2024,57794,5779400312,"AXIS Cash",DEHRADUN,1389.00
03-06-2024,57794,5779400311,"AXIS Cash",DEHRADUN,2407.00
03-06-2024,57816,62506925,"AXIS Cash",BANGALORE,2450.00
03-06-2024,57832,49461090,"AXIS Cash",KAKINADA,4466.00
03-06-2024,57833,40490765,"AXIS Cash",SRIGANGANAGAR,5400.00
03-06-2024,57845,5784500191,"AXIS Cash",MUMBAI,11940.00
03-06-2024,57847,80179400,"AXIS Cash",PANAJI,4400.00
03-06-2024,57850,5785000232,"AXIS Cash","NEW DELHI",20700.00
03-06-2024,57867,5786700173,"AXIS Cash",HYDERABAD,2500.00
03-06-2024,57883,5788300305,"AXIS Cash","DURGAPUR (WEST BENGAL)",2100.00
03-06-2024,57883,5788300306,"AXIS Cash","DURGAPUR (WEST BENGAL)",11950.00
03-06-2024,57890,60983689,"AXIS Cash",GORAKHPUR,31300.00
03-06-2024,57899,79716715,"AXIS Cash",AHMEDABAD,26280.00
03-06-2024,59176,5917600446,"AXIS Cash",AMBALA,10100.00
03-06-2024,59176,5917600445,"AXIS Cash",AMBALA,23870.00
03-06-2024,65583,8558300208,"AXIS Cash",VIJAYAWADA,4400.00
03-06-2024,65583,8558300209,"AXIS Cash",VIJAYAWADA,9700.00
03-06-2024,65583,8558300207,"AXIS Cash",VIJAYAWADA,16430.00
03-06-2024,66028,62217251,"AXIS Cash",COIMBATORE,46290.00
03-06-2024,75698,7569800015,"AXIS Cash",VARANASI,6660.00
03-06-2024,75698,7569800014,"AXIS Cash",VARANASI,25810.00
03-06-2024,75698,7569800016,"AXIS Cash",VARANASI,35140.00
03-06-2024,85491,61309607,"AXIS Cash",BANGALORE,25070.00
03-06-2024,85961,8596100012,"AXIS Cash",CALICUT,15600.00
03-06-2024,85993,58669108,"AXIS Cash",MANGALORE,63780.00
03-06-2024,86080,8608000011,"AXIS Cash","KAITHAL - HARYANA",5500.00
03-06-2024,86155,1325465,"AXIS Cash","CASH CORR LOCATION",63850.00
03-06-2024,86201,8620100005,"AXIS Cash","NEW DELHI",30.00
03-06-2024,86201,8620100004,"AXIS Cash","NEW DELHI",400.00
03-06-2024,86201,8620100001,"AXIS Cash","NEW DELHI",4430.00
03-06-2024,86201,8620100003,"AXIS Cash","NEW DELHI",45950.00
03-06-2024,86205,8620500001,"AXIS Cash","NEW DELHI",13600.00
03-06-2024,87301,4216782,"AXIS Cash",CHANDIGARH,2020.00
03-06-2024,87636,8763600296,"AXIS Cash","NEW DELHI",11460.00
03-06-2024,87652,8765200417,"AXIS Cash",AMBALA,10870.00
03-06-2024,88456,6162655,"AXIS Cash","CASH CORR LOCATION",28770.00
03-06-2024,91516,9151600526,"AXIS Cash",KOLKATA,23000.00
03-06-2024,91516,9151600525,"AXIS Cash",KOLKATA,26100.00
03-06-2024,91516,9151600527,"AXIS Cash",KOLKATA,98000.00
03-06-2024,99117,9911700780,"AXIS Cash","NEW DELHI",71000.00
03-06-2024,99117,9911700779,"AXIS Cash","NEW DELHI",87600.00
03-06-2024,99118,9911800767,"AXIS Cash","CASH CORR LOCATION",50500.00
03-06-2024,99118,9911800768,"AXIS Cash","CASH CORR LOCATION",56500.00
03-06-2024,99119,9911900773,"AXIS Cash","NEW DELHI",68400.00
03-06-2024,99119,9911900774,"AXIS Cash","NEW DELHI",155500.00
03-06-2024,99120,9912000728,"AXIS Cash","NEW DELHI",4000.00
03-06-2024,99120,9912000727,"AXIS Cash","NEW DELHI",157300.00
03-06-2024,99122,62261874,"AXIS Cash","NEW DELHI",70000.00
03-06-2024,99134,72500575,"AXIS Cash",MUMBAI,115000.00
03-06-2024,99143,9914300195,"AXIS Cash",PUNE,206200.00
03-06-2024,99156,9915600431,"AXIS Cash","NEW DELHI",1500.00
03-06-2024,99156,9915600430,"AXIS Cash","NEW DELHI",805810.00
03-06-2024,99156,9915600429,"AXIS Cash","NEW DELHI",1147300.00
03-06-2024,99160,80452300,"AXIS Cash",MUMBAI,172282.00
03-06-2024,99164,9916400651,"AXIS Cash","CASH CORR LOCATION",98200.00
03-06-2024,99164,9916400650,"AXIS Cash","CASH CORR LOCATION",119400.00
03-06-2024,99164,9916400652,"AXIS Cash","CASH CORR LOCATION",259900.00
03-06-2024,99201,9920100390,"AXIS Cash",AHMEDABAD,304350.00
03-06-2024,99205,9920500228,"AXIS Cash",CHANDIGARH,7000.00
03-06-2024,99205,9920500226,"AXIS Cash",CHANDIGARH,18000.00
03-06-2024,99205,9920500227,"AXIS Cash",CHANDIGARH,39000.00
03-06-2024,99206,61076462,"AXIS Cash",BANGALORE,23875.00
03-06-2024,15892,1589200013,"ICICI Cash",AJMER,11000.00
03-06-2024,25891,2589100011,"ICICI Cash",AJMER,5400.00
03-06-2024,25891,2589100012,"ICICI Cash",AJMER,8900.00
03-06-2024,35834,0038870765,"ICICI Cash","ANGAMALY 683572",2760.00
03-06-2024,35955,3595500007,"ICICI Cash",VARANASI,3170.00
03-06-2024,35955,3595500008,"ICICI Cash",VARANASI,5900.00
03-06-2024,59586,6029407165,"ICICI Cash","AMBALA CANTT BRANCH",26860.00
03-06-2024,59588,6029772615,"ICICI Cash",BARNALA,74410.00
03-06-2024,62766,6689900593,"ICICI Cash",CHENNAI,20000.00
03-06-2024,65960,6596000029,"ICICI Cash","FATEHPUR BRANCH - 212601",3200.00
03-06-2024,65960,6596000028,"ICICI Cash","FATEHPUR BRANCH - 212601",4000.00
03-06-2024,85910,6019001804,"ICICI Cash",CHANDIGARH,28840.00
03-06-2024,99123,6030264486,"ICICI Cash",DELHI,82650.00
03-06-2024,99133,6030033574,"ICICI Cash",LUCKNOW,281320.00
03-06-2024,99158,9915800780,"ICICI Cash",DELHI,255700.00
03-06-2024,99159,6030236838,"ICICI Cash",DELHI,30000.00
03-06-2024,MADGAR,6029722047,"ICICI Cash","GURDASPUR - 143521",7100.00
03-06-2024,MADGAR,6027932401,"ICICI Cash",KURNOOL,5730.00
03-06-2024,MADGAR,0000015640,"ICICI Cash",SIVAGANGA,15640.00
03-06-2024,5724,3025043,IDFC,CHANDIGARH,200100.00
01-06-2024,99008,3312523,IDFC,MUMBAICASH,291000.00
01-06-2024,99159,6030236837,"ICICI Cash",DELHI,59000.00
01-06-2024,99020,2078177,IDFC,BANGLCASH,13000.00
01-06-2024,99023,9902300787,IDFC,DELHICASH,186100.00
01-06-2024,99032,9903200775,IDFC,DELHICASH,137000.00
01-06-2024,99036,3526081,IDFC,MUMBAICASH,34000.00
01-06-2024,99043,3467405,IDFC,BANGLCASH,169000.00
01-06-2024,99100,3646631,IDFC,HYDCASH,457000.00
01-06-2024,99101,9910100733,IDFC,DELHICASH,168900.00
01-06-2024,99103,3621188,IDFC,CHENCASH,4500.00
01-06-2024,99110,9911000713,IDFC,DELHICASH,68500.00
01-06-2024,99115,9911500722,IDFC,DELHICASH,139450.00
01-06-2024,99124,9912400780,IDFC,DELHICASH,84500.00
01-06-2024,99125,9912500731,IDFC,DELHICASH,52500.00
01-06-2024,99158,9915800778,"ICICI Cash",DELHI,184700.00
01-06-2024,99133,6030033573,"ICICI Cash",LUCKNOW,147100.00
01-06-2024,99123,6030264485,"ICICI Cash",DELHI,34500.00
01-06-2024,35834,0038870764,"ICICI Cash","ANGAMALY 683572",3700.00
01-06-2024,25891,2589100010,"ICICI Cash",AJMER,1270.00
01-06-2024,15903,1336600773,"ICICI Cash",DELHI,25610.00
01-06-2024,15892,1589200011,"ICICI Cash",AJMER,2600.00
01-06-2024,,,HDFC,,1263.83
01-06-2024,,,HDFC,,7706.70
01-06-2024,99206,61076461,"AXIS Cash",BANGALORE,16000.00
01-06-2024,99204,9920400384,"AXIS Cash","NEW DELHI",257150.00
01-06-2024,99201,9920100388,"AXIS Cash",AHMEDABAD,88000.00
01-06-2024,99160,80452299,"AXIS Cash",MUMBAI,48250.00
01-06-2024,99134,2500574,"AXIS Cash",MUMBAI,16000.00
01-06-2024,99122,62261873,"AXIS Cash","NEW DELHI",47100.00
01-06-2024,99120,9912000726,"AXIS Cash","NEW DELHI",17500.00
01-06-2024,99119,9911900772,"AXIS Cash","NEW DELHI",55000.00
01-06-2024,99118,9911800766,"AXIS Cash","CASH CORR LOCATION",108500.00
01-06-2024,99117,9911700778,"AXIS Cash","NEW DELHI",50000.00
01-06-2024,87652,8765200416,"AXIS Cash",AMBALA,560.00
01-06-2024,87636,8763600295,"AXIS Cash","NEW DELHI",1500.00
01-06-2024,86080,8608000010,"AXIS Cash","KAITHAL - HARYANA",22340.00
01-06-2024,85993,58669107,"AXIS Cash",MANGALORE,31630.00
01-06-2024,85961,8596100011,"AXIS Cash",CALICUT,35520.00
01-06-2024,85491,61309606,"AXIS Cash",BANGALORE,7850.00
01-06-2024,57899,79716714,"AXIS Cash",AHMEDABAD,12520.00
01-06-2024,57883,5788300304,"AXIS Cash","DURGAPUR (WEST BENGAL)",14507.00
01-06-2024,57867,5786700172,"AXIS Cash",HYDERABAD,600.00
01-06-2024,57848,578480088,"AXIS Cash",HYDERABAD,6000.00
01-06-2024,57847,80179399,"AXIS Cash",PANAJI,6240.00
01-06-2024,57845,5784500190,"AXIS Cash",MUMBAI,1167.00
01-06-2024,57839,58147223,"AXIS Cash",SIKAR,3390.00
01-06-2024,57832,49461089,"AXIS Cash",KAKINADA,764.00
01-06-2024,57838,800213,"AXIS Cash",VISAKHAPATNAM,550.00
01-06-2024,57815,5781500365,"AXIS Cash",JAIPUR,4000.00
01-06-2024,57794,5779400310,"AXIS Cash",DEHRADUN,5367.00
01-06-2024,57792,501062024,"AXIS Cash",AHMEDABAD,11576.00
01-06-2024,57791,5779100295,"AXIS Cash",BANGALORE,700.00
01-06-2024,57784,8773068,"AXIS Cash",ROORKEE,5840.00
01-06-2024,57758,5775800113,"AXIS Cash",SIKAR,32232.00
01-06-2024,57761,5776100346,"AXIS Cash",NAVSARI,1778.00
01-06-2024,57748,5774800242,"AXIS Cash",UDAIPUR,4814.00
01-06-2024,57724,1150096,"AXIS Cash",GUWAHATI,10306.00
01-06-2024,57681,80082116,"AXIS Cash",AURANGABAD,9862.00
01-06-2024,57653,5765300312,"AXIS Cash",JAIPUR,1500.00
01-06-2024,57625,5762500375,"AXIS Cash",AJMER,15404.00
01-06-2024,57621,5762100302,"AXIS Cash",AHMEDABAD,999.00
01-06-2024,57611,5761100262,"AXIS Cash",AHMEDABAD,6050.00
01-06-2024,57551,5755100381,"AXIS Cash",LUCKNOW,13700.00
01-06-2024,57543,5754300364,"AXIS Cash","NEW DELHI",12113.00
01-06-2024,57513,79171389,"AXIS Cash","KOTA - RAJASTHAN",5500.00
01-06-2024,57536,81249446,"AXIS Cash",HAPUR,3885.00
01-06-2024,57509,74773331,"AXIS Cash",INDORE,4700.00
01-06-2024,57291,79860901,"AXIS Cash",RAJKOT,7094.00
01-06-2024,57279,5727900345,"AXIS Cash","NEW DELHI",2300.00
01-06-2024,57267,9182478,"AXIS Cash",HUBLI,3500.00
01-06-2024,57263,80376514,"AXIS Cash",RANCHI,3260.00
01-06-2024,57217,5721700348,"AXIS Cash","NEW DELHI",2910.00
01-06-2024,57198,61006321,"AXIS Cash",HYDERABAD,150.00
01-06-2024,57194,5719400414,"AXIS Cash",LUCKNOW,300.00
01-06-2024,57193,5719300346,"AXIS Cash",TRIVANDRUM,3074.00
01-06-2024,57190,5719000392,"AXIS Cash",SURAT,21768.00
01-06-2024,57188,5718800493,"AXIS Cash",PUNE,5000.00
01-06-2024,57189,135067,"AXIS Cash",HYDERABAD,13506.00
01-06-2024,57184,5718400659,"AXIS Cash",CALICUT,4724.00
01-06-2024,57185,73082746,"AXIS Cash",PUNE,2460.00
01-06-2024,57183,62696108,"AXIS Cash","CASH CORR LOCATION",5500.00
01-06-2024,57168,5716800416,"AXIS Cash","NEW DELHI",750.00
01-06-2024,57167,5716700703,"AXIS Cash",AHMEDABAD,1500.00
01-06-2024,57164,5716400431,"AXIS Cash","CASH CORR LOCATION",3450.00
01-06-2024,57163,5716300419,"AXIS Cash","CASH CORR LOCATION",5150.00
01-06-2024,57166,80311441,"AXIS Cash",BANGALORE,8400.00
01-06-2024,57161,5716100628,"AXIS Cash","CASH CORR LOCATION",59000.00
01-06-2024,57160,5716000342,"AXIS Cash",COIMBATORE,5550.00
01-06-2024,57162,752128,"AXIS Cash","CASH CORR LOCATION",500.00
01-06-2024,57157,62532933,"AXIS Cash","CASH CORR LOCATION",8720.00
01-06-2024,57155,571550009,"AXIS Cash",MUMBAI,2500.00
01-06-2024,57154,5715400047,"AXIS Cash",PUNE,14100.00
01-06-2024,57153,7452926,"AXIS Cash","CASH CORR LOCATION",14300.00
01-06-2024,57152,80867938,"AXIS Cash","CASH CORR LOCATION",15200.00
01-06-2024,57147,74917584,"AXIS Cash",BHUBANESHWAR,15000.00
01-06-2024,57150,5715000221,"AXIS Cash",TRIVANDRUM,1128.00
01-06-2024,57146,41379614,"AXIS Cash",MANGALORE,5805.00
01-06-2024,57139,5713900568,"AXIS Cash","CASH CORR LOCATION",1439.00
01-06-2024,57134,58996889,"AXIS Cash",BANGALORE,10700.00
01-06-2024,57133,5713300688,"AXIS Cash",NASHIK,10575.00
01-06-2024,57131,95147369,"AXIS Cash","CASH CORR LOCATION",17050.00
01-06-2024,57129,5712900630,"AXIS Cash",BANGALORE,2610.00
01-06-2024,57128,5712800596,"AXIS Cash",MUMBAI,866.00
01-06-2024,57127,74645762,"AXIS Cash",JAMSHEDPUR,7780.00
01-06-2024,57126,4790467,"AXIS Cash","CASH CORR LOCATION",29450.00
01-06-2024,57124,60267549,"AXIS Cash",GUWAHATI,14600.00
01-06-2024,57115,758758969,"AXIS Cash",HYDERABAD,11890.00
01-06-2024,57114,58758176,"AXIS Cash",HYDERABAD,6100.00
01-06-2024,57116,2769361,"AXIS Cash","KOCHI / ERNAKULAM",1365.00
01-06-2024,57111,5711100692,"AXIS Cash",CHENNAI,2500.00
01-06-2024,57110,5711000601,"AXIS Cash",BAREILLY,18140.00
01-06-2024,57108,80971038,"AXIS Cash",MYSORE,8400.00
01-06-2024,57100,5710000722,"AXIS Cash",CHENNAI,11183.00
01-06-2024,57064,74459798,"AXIS Cash",RANCHI,5000.00
01-06-2024,55572,62464322,"AXIS Cash","CASH CORR LOCATION",2500.00
01-06-2024,26115,2611500001,"AXIS Cash",AHMEDABAD,4800.00
01-06-2024,25997,2599700018,"AXIS Cash",AHMEDABAD,10830.00
01-06-2024,25917,74985206,"AXIS Cash",JODHPUR,10500.00
01-06-2024,25907,2590700031,"AXIS Cash",HARIDWAR,13750.00
01-06-2024,25805,196070,"AXIS Cash","CASH CORR LOCATION",2800.00
01-06-2024,16161,1616100011,"AXIS Cash","NEW DELHI",4700.00
01-06-2024,15934,1593400002,"AXIS Cash",JHANSI,92400.00
31-05-2024,15934,1593400001,"AXIS Cash",JHANSI,28290.00
31-05-2024,15946,1594600018,"AXIS Cash","NAWADA NWD BH",13730.00
31-05-2024,16161,161610009,"AXIS Cash","NEW DELHI",1550.00
31-05-2024,16152,200009,"AXIS Cash",VISAKHAPATNAM,21920.00
31-05-2024,16016,1601600013,"AXIS Cash",GHAZIPUR,2800.00
31-05-2024,25805,196069,"AXIS Cash","CASH CORR LOCATION",2000.00
31-05-2024,25907,2590700030,"AXIS Cash",HARIDWAR,30560.00
31-05-2024,25917,74985205,"AXIS Cash",JODHPUR,5400.00
31-05-2024,25971,2597100010,"AXIS Cash","NEW DELHI",5670.00
31-05-2024,25997,2599700017,"AXIS Cash",AHMEDABAD,1050.00
31-05-2024,57064,74459796,"AXIS Cash",RANCHI,908.00
31-05-2024,57065,74459822,"AXIS Cash",RANCHI,5770.00
31-05-2024,57100,5710000723,"AXIS Cash",CHENNAI,3613.00
31-05-2024,57108,80917037,"AXIS Cash",MYSORE,6820.00
31-05-2024,57109,5710900356,"AXIS Cash",CHENNAI,9222.00
31-05-2024,57110,5711000600,"AXIS Cash",BAREILLY,15265.00
31-05-2024,57111,5711100691,"AXIS Cash",CHENNAI,1900.00
31-05-2024,57116,2769360,"AXIS Cash","KOCHI / ERNAKULAM",5260.00
31-05-2024,57114,58757725,"AXIS Cash",HYDERABAD,1000.00
31-05-2024,57115,58758968,"AXIS Cash",HYDERABAD,1000.00
31-05-2024,57124,60267548,"AXIS Cash",GUWAHATI,10600.00
31-05-2024,57120,73453032,"AXIS Cash",BANGALORE,1500.00
31-05-2024,57126,4790466,"AXIS Cash","CASH CORR LOCATION",18372.00
31-05-2024,57127,74645761,"AXIS Cash",JAMSHEDPUR,1910.00
31-05-2024,57128,5712800595,"AXIS Cash",MUMBAI,1261.00
31-05-2024,57129,5712900629,"AXIS Cash",BANGALORE,4720.00
31-05-2024,57131,95147368,"AXIS Cash","CASH CORR LOCATION",9600.00
31-05-2024,57130,79480401,"AXIS Cash","CASH CORR LOCATION",18235.00
31-05-2024,57133,5713300687,"AXIS Cash",NASHIK,14500.00
31-05-2024,57134,58996888,"AXIS Cash",BANGALORE,12950.00
31-05-2024,57137,5713700485,"AXIS Cash",HYDERABAD,149.00
31-05-2024,57139,5713900567,"AXIS Cash","CASH CORR LOCATION",2507.00
31-05-2024,57146,41379613,"AXIS Cash",MANGALORE,3400.00
31-05-2024,57144,5714400407,"AXIS Cash",CHENNAI,2087.00
31-05-2024,57143,61623392,"AXIS Cash",TIRUPATHI,7000.00
31-05-2024,57150,571500220,"AXIS Cash",TRIVANDRUM,1500.00
31-05-2024,57154,5715400497,"AXIS Cash",PUNE,14270.00
31-05-2024,57156,80878603,"AXIS Cash",CHENNAI,8589.00
31-05-2024,57157,62532932,"AXIS Cash","CASH CORR LOCATION",8030.00
31-05-2024,57159,5715900043,"AXIS Cash",BANGALORE,3500.00
31-05-2024,57160,5716000341,"AXIS Cash",COIMBATORE,9000.00
31-05-2024,57166,80311440,"AXIS Cash",BANGALORE,1400.00
31-05-2024,57165,5716500247,"AXIS Cash",REWA,9080.00
31-05-2024,57163,5716300418,"AXIS Cash","CASH CORR LOCATION",5772.00
31-05-2024,57164,5716400430,"AXIS Cash","CASH CORR LOCATION",600.00
31-05-2024,57167,5716700702,"AXIS Cash",AHMEDABAD,11000.00
31-05-2024,57168,5716800415,"AXIS Cash","NEW DELHI",4720.00
31-05-2024,57174,677336,"AXIS Cash",BANGALORE,2000.00
31-05-2024,57180,571800668,"AXIS Cash","CASH CORR LOCATION",1428.00
31-05-2024,57185,73082745,"AXIS Cash",PUNE,6250.00
31-05-2024,57188,5718800492,"AXIS Cash",PUNE,3200.00
31-05-2024,57187,62511086,"AXIS Cash",BANGALORE,5000.00
31-05-2024,57190,5719000391,"AXIS Cash",SURAT,40775.00
31-05-2024,57192,5719200257,"AXIS Cash",MUMBAI,10027.00
31-05-2024,57193,5719300345,"AXIS Cash",TRIVANDRUM,3384.00
31-05-2024,57194,5719400413,"AXIS Cash",LUCKNOW,15900.00
31-05-2024,57199,5719900646,"AXIS Cash",MYSORE,8699.00
31-05-2024,57267,9182477,"AXIS Cash",HUBLI,3759.00
31-05-2024,57279,5727900344,"AXIS Cash","NEW DELHI",4100.00
