"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
16-05-2024,15-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41370197906,492986.11,492986.13,.00,0.02,"Stores: 1228,2977,2995,3731,4521,4533,4535,4538,4539,4568,4573,4576,4812,4823,4831,4862,4871,4876,4884,4887,4889,4892,4893,4896,4988,5528,5529,5531,5536,5538,5600,5739,5780,5797,6512,6596,6629,6634,6664,6703,6721,6758,6759,6762,6790,6823,6829,6856,6914,6921,6945,6975,6998,7082,7085,7524,7582,7617,7618,7622,7668,7685,7772,7822,7853,7858,7917,7936,9426,9460,9648,9654,9805,9862,9882,9929,9951"
16-05-2024,15-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13712617670,1008.00,1008.00,.00,0.00,
16-05-2024,15-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41370737796,61804.59,61804.59,.00,0.00,"Stores: 1043,1266,1817,2194,2446,2459,2490,3430,3436"
16-05-2024,15-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13714488155,83259.15,83259.15,.00,0.00,"Stores: 2556,6313,6386"
16-05-2024,15-05-2024,9701,59701,"WALLET PHONEPAY",Matched,YESPH41371846076,41884.25,41884.25,.00,0.00,"Stores: 9421,9701"
16-05-2024,15-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41371845293,745400.87,761408.89,.00,16008.02,"Stores: 1404,2318,2562,2574,2577,2591,2805,2827,2883,2886,2891,3616,3618,3632,3662,3673,3678,3690,3696,3697,3698,3809,3810,3811,3812,3816,3817,3821,3831,3834,3845,3858,3876,3888,3889,3891,3895,3900,3901,3902,3904,3909,3912,3916,3919,3922,3924,3931,3935,3961,3964,3978,3980,3982,3983,3985,3986,3990,3992,3994,5476,5585,5610,5682,5683,5741,5786,5843,5919,5982,6011,6037,6044,6046,6054,6056,6064,6076,6078,6092,6101,6106,6110,6112,6119,6121,6130,6134,6140,6159,6160,6170,6173,6208,6214,6227,6229,6257,6265,6269,6283,6284,6285,6286,6289,6346,6352,6359,6362,6364,6366,6371,6376,6384,6386,6392,6393,6395,6400,6465,6467,6511,6538,6542,6555,6556,6563,6570,6571,6575,6594,6624,6628,6632,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6795,6804,6816,6833,6842,6936,6977,7004,7019,7055,7093,7212,7255,7266,7282,7517,7563,7574,7711,7714,7715,7760,7771,7802,7829,7852,7859,7872,7902,9771,9772,9792,9800,9823,9872"
15-05-2024,14-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41361765453,756773.36,763268.37,.00,6495.01,"Stores: 1404,1493,1510,2574,2577,2591,2724,2763,2805,2883,3616,3618,3632,3663,3673,3691,3696,3697,3698,3809,3810,3812,3816,3817,3831,3845,3852,3854,3858,3876,3889,3891,3900,3903,3904,3905,3910,3917,3918,3919,3924,3931,3935,3951,3958,3961,3962,3964,3980,3982,3985,3986,3987,3990,5476,5682,5683,5741,5786,5843,5894,5901,5982,6011,6021,6036,6037,6046,6053,6056,6064,6076,6078,6091,6092,6096,6106,6111,6112,6119,6121,6129,6130,6134,6140,6143,6157,6159,6160,6163,6170,6188,6214,6225,6227,6229,6257,6269,6282,6284,6285,6286,6287,6346,6348,6352,6359,6364,6366,6371,6376,6381,6388,6392,6395,6400,6421,6423,6429,6465,6542,6543,6555,6556,6563,6570,6571,6575,6594,6627,6628,6643,6662,6675,6716,6722,6726,6731,6743,6747,6795,6816,6833,6842,6900,6911,6987,6991,7051,7055,7205,7255,7265,7266,7282,7542,7563,7574,7607,7614,7711,7714,7760,7771,7829,7852,7859,7872,7880,9454,9772,9792,9800,9823,9872"
15-05-2024,14-05-2024,9701,59701,"WALLET PHONEPAY",Matched,YESPH41361765587,9295.00,9295.00,.00,0.00,"Stores: 9421,9701"
15-05-2024,14-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM13602693300,508.00,508.00,.00,0.00,
15-05-2024,14-05-2024,8446,78446,"WALLET PHONEPAY",Matched,413612302190,13380.02,13380.02,.00,0.00,
15-05-2024,14-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13604894727,58348.50,58348.50,.00,0.00,"Stores: 2556,6313,6386"
15-05-2024,14-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41360849755,52790.10,52790.10,.00,0.00,"Stores: 1043,1817,2447,2490,3427,3430,3436"
15-05-2024,14-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13603082601,2926.00,2926.00,.00,0.00,
15-05-2024,14-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13602675344,278.00,278.00,.00,0.00,
15-05-2024,14-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41360195772,480998.84,480998.88,.00,0.04,"Stores: 1228,1241,1256,2977,2995,4521,4533,4535,4538,4539,4576,4585,4812,4823,4831,4856,4862,4871,4872,4876,4884,4887,4889,4890,4951,4998,5468,5528,5529,5531,5536,5660,5692,5714,5739,5797,5878,6443,6596,6629,6633,6634,6664,6691,6701,6703,6708,6721,6759,6762,6823,6829,6856,6910,6914,6975,6998,7006,7082,7091,7524,7582,7617,7618,7622,7668,7685,7728,7822,7855,7858,7871,7917,7936,9426,9460,9648,9735,9805,9862,9882,9897,9929,9951"
15-05-2024,14-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41360091897,183113.15,183113.17,.00,0.02,"Stores: 1175,1233,1577,5500,5777,5801,5824,5989,6929,7010,7074,7558,7561,7697,7770,7777,7894,7989,8110,8147,8148,8291,8292,8293,8322,8357,9615,9746,9782,9989"
14-05-2024,13-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41350189225,330889.42,330889.43,.00,0.01,"Stores: 1228,1241,2977,3731,4533,4538,4539,4573,4576,4585,4812,4823,4861,4862,4864,4869,4871,4876,4887,4889,4893,5528,5536,5692,6512,6596,6634,6701,6703,6719,6736,6758,6759,6823,6829,6856,6910,6914,6945,6975,7006,7082,7085,7524,7617,7618,7643,7728,7772,7822,7858,7936,9426,9648,9649,9754,9805,9862,9882,9897,9951"
14-05-2024,13-05-2024,9937,29937,"WALLET PHONEPAY",Matched,YESPH41350089837,188624.55,188624.55,.00,0.00,"Stores: 1175,1233,1521,5500,5777,5801,5824,6929,7010,7074,7537,7673,7697,7873,7909,7948,7989,8147,8148,8190,8247,8289,8291,8292,8349,8350,8356,9596,9605,9615,9746,9937"
14-05-2024,13-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13596557427,6592.00,6592.00,.00,0.00,
14-05-2024,13-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41350803063,26041.79,26041.79,.00,0.00,"Stores: 1039,1266,2194,2446,3427,3430,3436"
14-05-2024,13-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13595643879,21955.20,21955.20,.00,0.00,"Stores: 2556,6313,6386"
14-05-2024,13-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM13596757980,6694.00,6694.00,.00,0.00,
14-05-2024,13-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41351775508,703495.09,712966.11,.00,9471.02,"Stores: 1322,1404,2591,2598,2792,2805,2848,2856,2886,3616,3618,3662,3669,3673,3678,3689,3696,3697,3698,3809,3817,3821,3830,3831,3834,3835,3845,3852,3854,3866,3869,3876,3885,3888,3891,3900,3903,3904,3910,3916,3919,3922,3924,3927,3931,3935,3938,3939,3961,3962,3963,3964,3966,3980,3983,3986,3990,5476,5579,5585,5611,5682,5683,5786,5843,5894,5982,6011,6021,6036,6037,6044,6046,6053,6071,6076,6078,6092,6094,6096,6101,6121,6140,6143,6159,6160,6170,6188,6190,6200,6223,6225,6227,6229,6243,6257,6269,6284,6286,6346,6359,6364,6376,6384,6388,6392,6395,6400,6415,6465,6536,6542,6555,6556,6563,6571,6575,6594,6628,6632,6662,6675,6689,6722,6731,6741,6742,6743,6747,6816,6833,6842,6936,7054,7255,7259,7266,7563,7607,7714,7715,7763,7771,7829,7834,7852,7859,7872,7875,7880,9448,9772,9800,9823,9872"
14-05-2024,13-05-2024,9704,59704,"WALLET PHONEPAY",Matched,YESPH41351775619,59380.25,59380.25,.00,0.00,"Stores: 9421,9701,9704"
13-05-2024,12-05-2024,9713,59713,"WALLET PHONEPAY",Matched,YESPH41341679003,280228.14,280228.14,.00,0.00,"Stores: 9421,9701,9704,9712,9713"
13-05-2024,12-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41341675123,3178256.10,3206776.25,.00,28520.15,"Stores: 1404,1407,1493,1510,1515,2562,2577,2591,2598,2651,2662,2733,2792,2805,2827,2856,2886,2891,2899,3611,3616,3618,3626,3644,3654,3655,3662,3663,3666,3671,3673,3678,3689,3690,3697,3698,3809,3810,3811,3812,3816,3817,3821,3834,3838,3843,3845,3852,3854,3858,3866,3876,3885,3888,3889,3891,3895,3900,3902,3903,3904,3905,3909,3910,3916,3917,3919,3922,3924,3927,3931,3933,3935,3938,3939,3950,3961,3962,3963,3964,3967,3978,3980,3982,3983,3985,3986,3987,3990,3992,3994,5476,5558,5579,5609,5610,5611,5682,5683,5786,5822,5835,5843,5894,5919,5982,6011,6019,6021,6036,6037,6039,6044,6046,6053,6054,6056,6064,6071,6076,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6119,6121,6122,6129,6130,6134,6138,6140,6143,6157,6159,6160,6164,6170,6173,6189,6190,6208,6214,6223,6224,6227,6229,6241,6243,6257,6258,6265,6269,6274,6282,6283,6284,6286,6289,6313,6334,6346,6348,6352,6357,6359,6364,6366,6371,6376,6384,6387,6388,6389,6392,6400,6421,6423,6429,6465,6511,6536,6538,6542,6543,6555,6556,6563,6567,6570,6571,6575,6594,6627,6628,6632,6643,6656,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6763,6795,6816,6833,6842,6911,6927,6936,6977,6987,7004,7019,7041,7051,7054,7055,7073,7093,7212,7255,7259,7265,7266,7282,7517,7522,7563,7574,7607,7614,7711,7714,7760,7763,7771,7829,7852,7859,7870,7872,7875,7880,7946,9448,9454,9455,9771,9772,9792,9800,9823,9872"
13-05-2024,12-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM13484109812,2957.20,2957.20,.00,0.00,
13-05-2024,12-05-2024,9403,49403,"WALLET PHONEPAY",Matched,YESPH41340696375,110104.94,110104.92,.00,-0.02,"Stores: 1001,1039,1043,1817,2194,2446,2447,2459,2490,3430,3436,9403"
13-05-2024,12-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13486165029,102820.00,102797.30,.00,-22.70,"Stores: 2556,6386"
13-05-2024,10-05-2024,3508,53508,"WALLET PHONEPAY",Matched,AXNPN13488645592,362.91,362.90,.00,-0.01,
13-05-2024,12-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13486589203,10743.00,10743.00,.00,0.00,
13-05-2024,12-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13486787918,14388.00,14388.00,.00,0.00,
13-05-2024,12-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41340193718,880509.66,880509.69,.00,0.03,"Stores: 1227,1241,2977,2995,3731,4521,4533,4535,4538,4539,4568,4576,4579,4583,4592,4800,4807,4812,4823,4831,4850,4856,4864,4865,4867,4868,4871,4872,4879,4884,4887,4889,4890,4892,4893,4951,4988,4998,5528,5529,5531,5536,5660,5692,5714,5739,5870,6512,6589,6596,6629,6633,6634,6664,6691,6701,6708,6719,6721,6758,6759,6762,6823,6829,6856,6910,6914,6921,6945,6975,6998,7006,7022,7066,7082,7085,7091,7524,7562,7566,7582,7617,7618,7622,7643,7668,7685,7720,7822,7855,7858,7917,7936,9461,9648,9649,9654,9735,9805,9862,9882,9897,9951"
12-05-2024,11-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41330200039,642962.18,642962.23,.00,0.05,"Stores: 1228,1241,2977,2995,3731,4521,4533,4535,4539,4568,4573,4576,4585,4595,4812,4823,4831,4850,4856,4862,4865,4871,4872,4876,4884,4887,4889,4892,4893,5528,5529,5531,5538,5739,5795,6512,6596,6629,6634,6664,6701,6703,6719,6721,6758,6762,6823,6829,6856,6868,6914,6921,6945,6975,7082,7091,7285,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7917,9426,9461,9648,9649,9654,9805,9882,9883,9897,9951"
12-05-2024,11-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13378090432,6396.00,6396.00,.00,0.00,
12-05-2024,11-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13376741995,6695.00,6695.00,.00,0.00,
12-05-2024,11-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41330867612,54227.59,54227.59,.00,0.00,"Stores: 1039,1043,1105,1817,2447,2490,3436"
12-05-2024,11-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13377488114,22674.42,22654.70,.00,-19.72,"Stores: 2556,6386"
12-05-2024,11-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM13375737895,4510.12,4494.48,.00,-15.64,
11-05-2024,10-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41320759530,58550.53,58550.54,.00,0.01,"Stores: 1043,1105,1266,1817,2158,2194,2446,2447,2490,3430,3436"
11-05-2024,10-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41320190853,565604.80,565604.80,.00,0.00,"Stores: 2977,3731,4521,4533,4535,4539,4568,4583,4585,4812,4823,4831,4856,4862,4864,4871,4872,4876,4884,4889,4890,4893,5528,5529,5536,5538,5797,5870,6443,6512,6580,6596,6629,6634,6664,6691,6701,6703,6721,6735,6758,6759,6762,6823,6829,6856,6868,6910,6975,6998,7066,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7822,7855,7858,7917,7936,9426,9648,9654,9735,9754,9805,9882,9883,9897,9951"
10-05-2024,09-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41310197291,455678.43,455678.44,.00,0.01,"Stores: 1227,1228,1241,2977,3731,4521,4533,4535,4539,4576,4585,4587,4812,4823,4831,4850,4862,4863,4871,4876,4884,4889,4890,4892,4893,4988,5528,5529,5530,5531,5536,5692,5739,5797,6512,6629,6664,6703,6721,6734,6758,6759,6762,6829,6856,6910,6914,6921,6945,6962,6975,7006,7082,7285,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7917,7936,9648,9649,9654,9805,9862,9882,9883,9897,9951"
10-05-2024,09-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13156179226,596.00,596.00,.00,0.00,
10-05-2024,09-05-2024,3430,43430,"WALLET PHONEPAY",Matched,YESPH41310621220,140139.26,140139.27,.00,0.01,"Stores: 1000,1001,1039,1043,1176,1266,1817,2158,2194,2446,2447,2490,3430"
10-05-2024,09-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13156442072,2998.00,2998.00,.00,0.00,
10-05-2024,09-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13158088049,18047.50,18047.50,.00,0.00,"Stores: 2556,6386"
10-05-2024,09-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41311872335,991700.85,1040334.55,.00,48633.70,"Stores: 1404,1407,1510,1515,2574,2577,2805,2886,2891,3616,3662,3669,3673,3678,3691,3696,3698,3809,3812,3817,3821,3834,3838,3843,3845,3852,3854,3858,3876,3887,3888,3889,3891,3895,3900,3904,3910,3912,3913,3915,3917,3918,3922,3924,3931,3935,3938,3951,3961,3963,3964,3982,3983,3985,3986,3992,5579,5585,5610,5682,5683,5786,5822,5843,5894,5919,5982,6011,6036,6037,6044,6046,6053,6054,6056,6071,6074,6078,6091,6092,6094,6096,6101,6106,6110,6119,6121,6122,6134,6140,6159,6160,6190,6208,6214,6223,6227,6229,6257,6265,6269,6282,6283,6284,6286,6346,6357,6359,6364,6366,6376,6377,6388,6389,6392,6400,6511,6536,6542,6543,6555,6563,6570,6571,6575,6594,6628,6632,6643,6656,6662,6675,6689,6716,6726,6741,6743,6747,6804,6842,6977,6991,7019,7041,7054,7055,7093,7255,7265,7266,7517,7522,7542,7563,7614,7714,7760,7763,7771,7829,7852,7859,7872,7875,7880,9448,9454,9771,9772,9800,9823,9872"
10-05-2024,09-05-2024,9713,59713,"WALLET PHONEPAY",Matched,YESPH41311872414,6446.50,6446.50,.00,0.00,"Stores: 9701,9704,9713"
09-05-2024,08-05-2024,9704,59704,"WALLET PHONEPAY",Matched,YESPH41301912270,27867.60,27867.60,.00,0.00,"Stores: 9421,9701,9704"
09-05-2024,08-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41301912160,893328.22,927734.82,.00,34406.60,"Stores: 1340,1404,1510,2577,2591,2598,2633,2651,2724,2805,2883,3616,3618,3654,3662,3669,3673,3678,3690,3697,3698,3809,3812,3816,3821,3830,3843,3845,3849,3854,3858,3876,3885,3889,3891,3895,3900,3901,3903,3904,3905,3918,3919,3922,3924,3927,3931,3935,3938,3950,3954,3962,3982,3983,3985,3992,3994,5579,5610,5611,5682,5683,5843,5894,5919,5982,6011,6036,6037,6044,6046,6053,6054,6056,6064,6076,6078,6091,6094,6096,6101,6106,6110,6112,6119,6121,6134,6138,6140,6143,6157,6159,6160,6189,6190,6200,6208,6214,6223,6227,6229,6243,6265,6283,6284,6286,6287,6289,6348,6352,6359,6364,6366,6373,6384,6388,6392,6400,6423,6465,6511,6536,6555,6556,6563,6571,6575,6594,6628,6632,6643,6656,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6795,6816,6842,6911,6936,6987,7019,7041,7051,7054,7055,7093,7255,7265,7266,7282,7517,7522,7563,7574,7667,7711,7714,7771,7829,7834,7852,7859,7872,7875,7880,7913,9448,9454,9771,9792,9800,9872"
09-05-2024,08-05-2024,8446,78446,"WALLET PHONEPAY",Matched,413012922260,7891.00,7891.00,.00,0.00,
09-05-2024,08-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13049693085,8093.50,8093.50,.00,0.00,"Stores: 2556,6386"
09-05-2024,08-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41300937038,35164.60,35164.60,.00,0.00,"Stores: 1039,1043,1176,1266,1817,2447,3436"
09-05-2024,08-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41300238891,448821.90,448821.91,.00,0.01,"Stores: 1228,2977,3731,4521,4533,4535,4539,4573,4576,4579,4806,4812,4823,4831,4862,4867,4871,4876,4884,4887,4889,4988,5528,5529,5531,5536,5538,5600,5660,5739,5797,6512,6596,6633,6664,6701,6703,6719,6721,6762,6823,6829,6856,6868,6910,6914,6921,6945,6976,6998,7006,7082,7524,7562,7582,7617,7618,7622,7643,7668,7685,7822,7853,7858,7917,7936,9460,9654,9735,9897,9951"
08-05-2024,07-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41290241211,502559.14,502559.16,.00,0.02,"Stores: 1228,2977,3731,4521,4533,4539,4573,4576,4579,4585,4587,4812,4823,4831,4862,4865,4870,4871,4872,4876,4884,4887,4889,4893,4988,5528,5529,5530,5536,5538,5739,5797,6441,6443,6512,6596,6629,6634,6664,6701,6703,6721,6736,6758,6762,6790,6823,6829,6856,6868,6910,6919,6945,6975,6998,7060,7082,7085,7524,7582,7617,7618,7622,7668,7683,7685,7728,7772,7822,7853,7855,7858,7917,7936,9460,9649,9654,9754,9805,9882,9897,9951"
08-05-2024,07-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM12939764680,5050.56,5039.68,.00,-10.88,
08-05-2024,07-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12940054864,20057.70,20057.70,.00,0.00,"Stores: 2556,6386"
08-05-2024,07-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM12937030007,699.00,699.00,.00,0.00,
08-05-2024,07-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41290842419,37123.00,37123.00,.00,0.00,"Stores: 1001,1043,1176,1266,2446,2447,3436,9410,9585"
08-05-2024,07-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41291856588,684440.24,738259.41,.00,53819.17,"Stores: 1340,1510,1515,2574,2577,2591,2733,2772,2883,2891,3616,3618,3644,3662,3673,3675,3678,3686,3690,3698,3809,3810,3812,3821,3834,3843,3852,3854,3858,3876,3889,3891,3895,3904,3905,3909,3910,3917,3919,3924,3931,3935,3938,3950,3961,3964,3982,3983,3985,3986,3990,3992,3994,5584,5682,5683,5741,5786,5843,5894,5919,5982,6011,6037,6044,6053,6054,6056,6064,6074,6078,6096,6101,6106,6121,6134,6143,6157,6160,6173,6200,6208,6214,6223,6225,6227,6243,6257,6284,6285,6287,6346,6348,6359,6364,6366,6371,6376,6388,6392,6400,6421,6423,6465,6509,6553,6555,6556,6563,6570,6571,6575,6594,6643,6656,6662,6675,6689,6716,6726,6743,6747,6763,6795,6816,6842,6911,6936,7019,7041,7054,7055,7093,7212,7255,7265,7266,7563,7711,7714,7715,7760,7763,7771,7829,7834,7852,7859,7872,7875,9454,9772,9792,9800,9823,9872"
08-05-2024,07-05-2024,9704,59704,"WALLET PHONEPAY",Matched,YESPH41291856682,10813.60,10813.60,.00,0.00,"Stores: 9421,9701,9704"
08-05-2024,07-05-2024,9763,29763,"WALLET PHONEPAY",Matched,YESPH41290120367,287080.20,287080.20,.00,0.00,"Stores: 1175,1221,1233,5605,5777,5824,5989,6929,7010,7097,7558,7564,7697,7777,7909,8141,8148,8175,8190,8198,8286,8291,8293,8309,8356,9596,9615,9650,9763"
07-05-2024,06-05-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41282004447,98.00,98.00,.00,0.00,
07-05-2024,06-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41282006053,657726.27,693368.56,.00,35642.29,"Stores: 1340,1404,1510,2562,2577,2591,2633,2724,2772,2805,2891,3611,3616,3618,3655,3662,3669,3673,3678,3689,3690,3691,3697,3698,3809,3812,3821,3830,3834,3849,3852,3876,3885,3887,3888,3900,3903,3905,3909,3919,3922,3924,3930,3931,3935,3938,3951,3961,3962,3978,3980,3983,3985,3986,5476,5610,5683,5786,5843,5894,5982,6011,6021,6036,6037,6044,6046,6053,6056,6064,6071,6074,6076,6078,6092,6094,6096,6106,6119,6121,6130,6138,6140,6143,6157,6159,6170,6173,6177,6188,6190,6208,6214,6223,6225,6229,6243,6265,6284,6286,6346,6352,6359,6364,6366,6376,6388,6389,6400,6421,6423,6543,6555,6556,6563,6567,6570,6571,6575,6624,6628,6643,6675,6689,6716,6722,6726,6731,6741,6743,6747,6816,6927,6987,7004,7019,7041,7054,7055,7265,7266,7282,7517,7522,7563,7574,7667,7715,7760,7763,7771,7802,7829,7834,7852,7859,7872,7875,7880,9454,9771,9772,9800,9823,9872"
07-05-2024,06-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41280909055,55847.07,55847.06,.00,-0.01,"Stores: 1001,1039,1266,1817,2447,2490,3427,3436,9410,9585"
07-05-2024,06-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12829613208,26168.37,26156.13,.00,-12.24,"Stores: 2556,6386"
07-05-2024,06-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41280227459,431461.24,431461.25,.00,0.01,"Stores: 1241,2977,3731,3738,4533,4535,4538,4539,4576,4800,4812,4823,4831,4861,4862,4867,4871,4872,4876,4884,4887,4889,4892,4893,4988,5529,5530,5536,5538,5638,5660,5692,5739,6443,6512,6596,6629,6633,6664,6703,6708,6721,6734,6735,6736,6758,6759,6823,6829,6856,6914,6921,6945,6975,6998,7082,7085,7285,7524,7582,7617,7618,7622,7668,7685,7822,7853,7855,7858,7936,9426,9460,9461,9654,9735,9754,9805,9862,9882,9883,9897,9951"
06-05-2024,05-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41270223483,577126.77,577126.75,.00,-0.02,"Stores: 1228,2977,2995,3731,4521,4533,4538,4539,4576,4800,4812,4842,4856,4862,4864,4865,4870,4871,4872,4884,4887,4889,4890,4892,4893,4951,4988,5528,5529,5536,5537,5538,5692,5739,5797,6443,6512,6633,6634,6664,6691,6701,6703,6721,6736,6758,6759,6762,6823,6829,6832,6910,6914,6921,6945,6975,6998,7006,7082,7085,7524,7582,7617,7622,7643,7668,7685,7822,7855,7878,7917,7936,9426,9648,9649,9754,9862,9882,9883,9897,9951"
06-05-2024,05-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12718941584,46315.47,46309.35,.00,-6.12,"Stores: 2556,6386"
06-05-2024,05-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12717993007,2866.00,2866.00,.00,0.00,
06-05-2024,05-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41270771589,114107.15,114107.15,.00,0.00,"Stores: 1001,1039,1176,1817,2194,2446,2447,2490,9585"
06-05-2024,05-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41271757775,2173262.76,2336839.27,.00,163576.51,"Stores: 1404,1510,1515,2562,2574,2577,2591,2598,2633,2662,2725,2733,2805,2883,2891,2898,3611,3616,3618,3632,3655,3662,3669,3673,3678,3689,3690,3691,3697,3698,3801,3809,3812,3816,3821,3830,3834,3835,3843,3845,3849,3852,3854,3876,3888,3889,3891,3895,3900,3901,3902,3903,3904,3905,3909,3910,3912,3918,3919,3922,3924,3927,3930,3931,3935,3938,3950,3952,3958,3961,3962,3964,3980,3982,3983,3985,3986,3987,3990,3992,3994,5476,5585,5609,5610,5611,5682,5683,5760,5786,5843,5894,5919,5982,6011,6021,6036,6037,6044,6053,6054,6056,6064,6074,6076,6078,6091,6092,6094,6096,6101,6106,6111,6112,6119,6121,6130,6134,6140,6143,6158,6159,6160,6163,6170,6173,6187,6188,6189,6190,6200,6208,6214,6223,6224,6225,6227,6229,6241,6243,6257,6265,6269,6274,6282,6283,6284,6285,6286,6289,6346,6348,6350,6357,6359,6364,6366,6371,6373,6376,6377,6384,6389,6392,6395,6400,6415,6423,6429,6465,6511,6543,6555,6556,6563,6567,6570,6571,6575,6594,6627,6628,6632,6643,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6795,6816,6833,6842,6900,6911,6927,7004,7019,7041,7054,7055,7093,7212,7255,7265,7266,7282,7517,7540,7563,7574,7607,7614,7711,7714,7715,7760,7763,7771,7829,7852,7859,7872,7875,7876,7880,9448,9454,9455,9485,9771,9772,9792,9800,9823,9872"
06-05-2024,05-05-2024,9713,59713,"WALLET PHONEPAY",Matched,YESPH41271758863,156293.45,156293.45,.00,0.00,"Stores: 9421,9701,9704,9706,9709,9712,9713"
05-05-2024,04-05-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41260812369,59713.56,59713.56,.00,0.00,"Stores: 1001,1039,1043,1266,1817,2446,2447,3430,3436,9403,9585"
05-05-2024,04-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM12610875213,2707.00,2707.00,.00,0.00,
05-05-2024,04-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM12609069528,4897.00,4897.00,.00,0.00,
05-05-2024,04-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM12610265603,39054.70,39054.70,.00,0.00,"Stores: 2556,6386"
