"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
22-05-2024,21-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM14368637907,3398.00,3398.00,.00,0.00,
22-05-2024,21-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41430909477,32979.40,32979.40,.00,0.00,"Stores: 1001,1043,1105,1266,1817,2194,2447,3430,3436"
22-05-2024,21-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM14370608798,16215.12,16213.82,.00,-1.30,"Stores: 2556,6386"
22-05-2024,21-05-2024,8446,78446,"WALLET PHONEPAY",Matched,414312820230,7840.01,7840.01,.00,0.00,
22-05-2024,21-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM14368719562,3797.00,3797.00,.00,0.00,
22-05-2024,21-05-2024,9650,29650,"WALLET PHONEPAY",Matched,YESPH41430087187,203579.04,203579.04,.00,0.00,"Stores: 1175,1221,1569,5500,5561,5801,5824,5989,6929,7010,7070,7074,7558,7697,7777,7778,7894,7948,7989,8054,8140,8147,8148,8190,8289,8292,8293,8322,9087,9615,9650"
22-05-2024,21-05-2024,9704,59704,"WALLET PHONEPAY",Matched,YESPH41431793056,34686.50,34686.50,.00,0.00,"Stores: 9701,9702,9704"
22-05-2024,21-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41431791121,1018018.35,1020816.40,.00,2798.05,"Stores: 1510,2562,2574,2591,2662,2805,2827,3611,3616,3618,3655,3662,3663,3669,3673,3678,3698,3812,3817,3821,3831,3834,3845,3849,3852,3854,3858,3876,3885,3888,3889,3891,3895,3900,3901,3905,3909,3910,3912,3917,3919,3922,3924,3931,3935,3938,3950,3961,3962,3963,3964,3978,3980,3983,3985,3990,3994,5476,5610,5682,5683,5759,5760,5786,5843,5894,5982,6011,6021,6036,6037,6044,6053,6054,6056,6078,6096,6101,6106,6110,6111,6112,6119,6121,6134,6140,6143,6157,6159,6160,6163,6170,6173,6188,6189,6208,6214,6227,6229,6241,6243,6265,6269,6282,6283,6286,6344,6346,6348,6352,6359,6364,6366,6371,6373,6376,6384,6392,6393,6395,6400,6415,6421,6465,6467,6511,6536,6542,6553,6555,6556,6563,6570,6571,6575,6594,6628,6643,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6816,6842,6911,6956,7031,7041,7051,7055,7093,7266,7282,7522,7563,7607,7614,7715,7760,7763,7829,7834,7852,7859,7875,7880,7913,9448,9454,9772,9792,9800,9823,9872"
21-05-2024,20-05-2024,9704,59704,"WALLET PHONEPAY","Not Matched",YESPH41421677105,45287.00,47036.50,.00,1749.50,"Stores: 9421,9701,9702,9704"
21-05-2024,20-05-2024,9800,69800,"WALLET PHONEPAY","Not Matched",YESPH41421677055,482971.52,487816.57,.00,4845.05,"Stores: 1404,1510,1515,2574,2577,2591,2662,2805,2827,2886,3616,3618,3632,3662,3669,3673,3696,3697,3811,3817,3821,3831,3835,3845,3852,3854,3885,3888,3895,3903,3910,3918,3919,3922,3927,3935,3938,3961,3963,3978,3980,3982,3983,3985,3990,3994,5609,5610,5682,5683,5760,5786,5894,5919,5982,6011,6037,6044,6053,6054,6056,6076,6092,6106,6110,6111,6112,6121,6129,6130,6134,6143,6159,6160,6170,6173,6214,6227,6243,6265,6284,6286,6287,6334,6344,6346,6348,6352,6364,6371,6376,6387,6392,6400,6415,6511,6536,6542,6553,6555,6556,6563,6570,6594,6624,6627,6628,6643,6662,6689,6716,6722,6742,6743,6747,6795,6816,6842,6987,7055,7265,7266,7563,7614,7760,7763,7771,7829,7834,7859,7872,7875,7880,9448,9454,9771,9772,9800"
21-05-2024,20-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM14262616542,15507.65,15507.65,.00,0.00,"Stores: 2556,6386"
21-05-2024,20-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41420724147,52145.90,52145.90,.00,0.00,"Stores: 1043,1105,1266,1817,2446,2447,2490,3430,3436"
21-05-2024,20-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM14259198900,2198.00,2198.00,.00,0.00,
21-05-2024,20-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM14259064670,2158.40,2158.40,.00,0.00,
21-05-2024,20-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41420188393,507884.77,507884.77,.00,0.00,"Stores: 2977,2995,3731,4521,4533,4539,4569,4576,4585,4800,4812,4823,4831,4850,4855,4862,4865,4871,4876,4884,4887,4889,4892,5528,5529,5530,5531,5536,5620,5739,5797,6441,6443,6512,6596,6629,6634,6691,6701,6703,6708,6721,6759,6762,6790,6823,6829,6856,6910,6914,6962,6975,6998,7082,7524,7562,7582,7617,7622,7643,7855,7858,7917,7936,9426,9648,9654,9735,9754,9805,9882,9883,9897,9951"
21-05-2024,20-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41420089010,167477.69,167477.70,.00,0.01,"Stores: 1175,1233,5500,5777,5801,5824,6929,7010,7561,7697,7770,7777,7989,8110,8147,8148,8190,8197,8289,9087,9596,9615,9650,9817,9937,9989"
20-05-2024,19-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41410087522,330877.37,330877.38,.00,0.01,"Stores: 1233,1521,1577,5500,5517,5777,5824,6929,7010,7074,7561,7697,7873,7989,8141,8148,8190,8197,8198,8286,8289,8291,8293,9087,9466,9596,9605,9615,9746,9817,9989"
